rel_month,coef,se,ci_lo,ci_hi,kind
-12,-0.15493389888261577,0.03708160776380417,-0.22761385009967194,-0.0822539476655596,monthly
-11,-0.16140706206165312,0.04798774335404901,-0.2554630390355892,-0.06735108508771706,monthly
-10,-0.030965203340633064,0.057248996511511746,-0.14317323650319608,0.08124282982192996,monthly
-9,-0.219927220845081,0.05461149345392161,-0.32696574801476735,-0.11288869367539466,monthly
-8,-0.17033418305586473,0.03918006628348288,-0.24712711297149118,-0.09354125314023828,monthly
-7,0.1645023358096167,0.043440855896124835,0.07935825825321204,0.2496464133660214,monthly
-6,-0.08805785156675573,0.03804689887583525,-0.16262977336339282,-0.013485929770118643,monthly
-5,-0.07930027331212959,0.0575169013462261,-0.19203339995073274,0.033432853326473555,monthly
-4,-0.07021397649623941,0.043495401727426115,-0.1554649638819946,0.01503701088951577,monthly
-3,-0.022641534583103067,0.05527525955883795,-0.13098104331842544,0.0856979741522193,monthly
-2,-0.011214400696135683,0.06092570642329056,-0.13062878528578517,0.10819998389351382,monthly
-1,-0.04417930603017357,0.028882664426693107,-0.10078932830649205,0.012430716246144918,monthly
1,-0.2538679479836151,0.03737286536560042,-0.3271187641001919,-0.1806171318670383,monthly
2,-0.13630837831237672,0.04723076654505208,-0.2288806807406788,-0.043736075884074646,monthly
3,-0.21346790147193384,0.05255151294322291,-0.31646886684065073,-0.11046693610321694,monthly
4,-0.2123360391959507,0.05298474050702741,-0.31618613058972445,-0.10848594780217699,monthly
5,0.06965778265400085,0.06785650883799153,-0.06334097466846256,0.20265653997646427,monthly
6,-0.13611276810739956,0.04381428090543038,-0.2219887586820431,-0.050236777532756016,monthly
7,-0.20114779946389394,0.04231071278080382,-0.2840767965142694,-0.11821880241351845,monthly
8,-0.12722184559867533,0.05045776149338691,-0.22611905812571367,-0.02832463307163699,monthly
9,-0.07223516236313107,0.04246633830688996,-0.1554691854446354,0.010998860718373249,monthly
10,-0.06534443264769364,0.054661939878143606,-0.1724818348088551,0.04179296951346782,monthly
11,-0.05501541422556888,0.042147124551901824,-0.13762377834729644,0.027592949896158694,monthly
12,-0.2430151123845755,0.039578182919139074,-0.32058835090608806,-0.16544187386306292,monthly
13,-0.17057602190920226,0.03729935998600725,-0.24368276748177647,-0.09746927633662805,monthly
14,-0.04301673348273109,0.0438138896172416,-0.12889195713252463,0.042858490167062446,monthly
15,-0.13024513191008508,0.06834746818394673,-0.26420616955062065,0.003715905730450497,monthly
16,-0.15471871722609007,0.042246977244962305,-0.23752279262621617,-0.07191464182596395,monthly
17,0.15098340589264517,0.04092031024357414,0.07077959781523985,0.2311872139700505,monthly
18,-0.07886063191135795,0.04610153900993428,-0.16921964837082915,0.011498384548113236,monthly
19,-0.14644115741825098,0.036964813647106305,-0.21889219216657935,-0.07399012266992262,monthly
20,-0.07320392883371665,0.038026498871608826,-0.14773586662206994,0.0013280089546366391,monthly
21,-0.01684633018330896,0.08779460913842829,-0.1889237640946284,0.15523110372801047,monthly
22,-0.1385792225100086,0.040365457678682534,-0.21769551956022637,-0.05946292545979083,monthly
23,0.0003473547555886084,0.035028839206028055,-0.06830917008822637,0.0690038795994036,monthly
24,-0.04671957175312387,0.06898248479101565,-0.18192524194351456,0.0884860984372668,monthly
25,-0.1008516013982142,0.08505371236010982,-0.26755687762402947,0.06585367482760104,monthly
