tau,date,coef,se,pvalue,stars
-12,2022-11,-0.10936074323692196,0.024450506705486815,7.741295523056024e-06,***
-11,2022-12,-0.0487756622376927,0.024739475588569232,0.048664590252886164,**
-10,2023-01,0.021354723474101722,0.02925296827748115,0.46539280787789217,
-9,2023-02,-0.07261085276782579,0.031224384215552795,0.02005215463984178,**
-8,2023-03,-0.08675998852620459,0.02275471692345286,0.00013756506417417214,***
-7,2023-04,0.18162492407871014,0.03118386904688756,5.773435951539341e-09,***
-6,2023-05,-0.009425319417507582,0.0318520697192945,0.7673008179597982,
-5,2023-06,-0.051590860534349685,0.02784499873851982,0.06391940257671958,*
-4,2023-07,-0.04635329213895749,0.024635454885968057,0.05990110766494383,*
-3,2023-08,-0.041022590658490114,0.02474391673866782,0.09734748099051815,*
-2,2023-09,-0.06582513865620164,0.031040783164214606,0.03396079592673207,**
-1,2023-10,0.026482386469481867,0.025898816639007637,0.30653435836831533,
